Fuel Type Code,Station Name,Street Address,City,State,ZIP,Plus4,latitude,longitude,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types
BD,East Side Travel Plaza,607 Gateway Dr,East Grand Forks,MN,56721,,47.9379322,-97.0107874,218-773-4345,E,,Public,5am-10pm daily,A Checks Cash D M V,"B20 in summer, B5",,,,,,,,,200-8,47.9375198,-97.0145484,3/6/2014,42479,2014-03-06 18:13:40 UTC,P,,,12/31/2008,,,,,
BD,Piedmont Biofuels - Carrboro Public Works,100 Public Works Dr,Carrboro,NC,27510,,35.9006394,-79.0748738,919-321-8260,E,,Public - Card key after hours,8:30am-4:30pm M-F; contact station to arrange for card key,Cash M V,B100,,,,,,,,,GPS,35.939414,-79.056994,7/2/2014,27886,2014-07-02 20:28:58 UTC,P,,,9/15/2005,,,,,
BD,Propel Fuels - 76,1850 E Holt Blvd,Ontario,CA,91761,,34.063137,-117.611481,909-467-1809,E,,Public - Credit card at all times,24 hours daily; Also accept Propel CleanDrive fleet card,A D FuelMan M V Voyager Wright_Exp,B20,,,,,,,,,200-8,34.0631733,-117.6113105,9/5/2014,47982,2014-09-05 20:24:50 UTC,P,,,1/15/2013,,,,,
BD,Daily's #7111,5272 Cane Ridge Rd,Nashville,TN,37013,,36.0454597,-86.6613312,615-731-4063,E,,Public,24 hours daily,A Cash D M V Voyager,B20,,,,,,,,,200-8,36.045435,-86.6613932,8/5/2014,32501,2014-08-05 17:48:16 UTC,P,,,10/1/2006,,,,,
BD,Carl's Junior 76 Station,2140 N Nimitz Hwy,Honolulu,HI,96819,,21.328142,-157.885864,808-848-0480,E,,Public,"5:30am-10pm M-W, 6am-11pm Th-Sat, 6am-10pm Sun",A Cash D M V,B99,,,,,,,,,200-8,21.3282018,-157.8858304,5/2/2014,30606,2014-05-02 14:22:41 UTC,P,,,10/15/2006,,,,,
BD,Yocum Holiday #3871,2030 Eagle Creek Ln,Woodbury,MN,55129,,44.919239,-92.901787,651-998-1123,E,,Public - Credit card after hours,"5am-11:30pm M-F, 6am-11:30pm Sat-Sun",A Cash D M V Voyager Wright_Exp,"B20 in summer, B5 in winter",,,,,,,,,200-8,44.919239,-92.901783,3/6/2014,49538,2014-03-06 18:10:39 UTC,P,,,5/15/2012,,,,,
BD,Saxapahaw General Store,1735 Saxapahaw-Bethlehem Church Rd,Saxapahaw,NC,27340,,35.946529,-79.318336,336-376-5332,E,,Public - Card key at all times,24 hours daily; must have piedmont biofuels card to fuel - visit http://www.biofuels.coop/ to arrange for card key,,B100,,,,,,,,,200-8,35.946531,-79.318335,7/2/2014,37616,2014-07-02 20:27:11 UTC,P,,,1/29/2011,,,,,
BD,Pacific Pride,19020 63rd Ave NE,Arlington,WA,98223,,48.1686444,-122.1460129,800-950-3835,E,,Public - Card key at all times,24 hours daily; also accept Pacific Pride and Comdata cards,Voyager Wright_Exp,B20,,,,,,,,,200-8,48.1686092,-122.1459816,3/6/2014,35526,2014-03-06 18:13:53 UTC,P,,,3/1/2010,,,,,
BD,Pacific Biodiesel Inc - Burt's Service,1342 N School St,Honolulu,HI,96817,,21.3315325,-157.8658137,808-841-6711,E,,Public,"6am-10:30pm M-Sat, 7am-10pm Sun",A Cash D M V Wright_Exp,"B20, any blend up to B20 available",,,,,,,,,200-8,21.3318109,-157.866066,5/2/2014,38045,2014-05-02 14:27:02 UTC,P,,,9/30/2009,,,,,
BD,Propel Fuels - Shell,3204 Richards Rd,Bellevue,WA,98005,,47.5814988,-122.1681987,425-746-8945,E,,Public - Credit card at all times,24 hours daily,A D FuelMan M V Voyager Wright_Exp,B20,,,,,,,,,200-8,47.581392,-122.1676714,6/3/2014,33169,2014-06-03 03:42:37 UTC,P,,,1/15/2008,,,,,
BD,Central Washington Biodiesel,1000 N Prospect St,Ellensburg,WA,98926,,47.0006336,-120.564801,509-899-3370,E,,Public - Call ahead,Contact station for arrangements,Checks Cash M V,"B99 in summer, B50 in winter",,,,,,,,,200-8,47.0015486,-120.5654347,5/2/2014,48484,2014-05-02 14:03:42 UTC,P,,,1/15/2006,,,,,
BD,Citgo Easy Stop Food - Mid-State Energy,4235 Clark Rd,Sarasota,FL,34233,,27.2696533,-82.4836807,941-922-5696,E,,Public,"6am-9pm M-F, 7am-9pm Sat, 8am-8pm Sun",A Checks Cash D M V Voyager Wright_Exp,B20,,,,,,,,,200-8,27.2693278,-82.4835626,8/5/2014,51031,2014-08-05 17:55:23 UTC,P,,,2/28/2013,,,,,
