UNITID,INSTNM,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,FAXTELE,EIN,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,IALIAS,INSTCAT,CCBASIC,CCIPUG,CCIPGRAD,CCUGPROF,CCENRPRF,CCSIZSET,CARNEGIE,LANDGRNT,INSTSIZE,CBSA,CBSATYPE,CSA,NECTA,F1SYSTYP,F1SYSNAM,F1SYSCOD,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE
131469,George Washington University,"2121 I Street, NW",Washington,DC,20052,11,2,Steven Knapp,President,2029941000,2029940325,530196584,144400,1,www.gwu.edu,www.gwu.edu/apply/,gwired.gwu.edu/finaid/,www.gwu.edu/apply/undergraduateadmissions/applytogw,undergraduate.admissions.gwu.edu/net-price-calculator,2,1,2,9,1,1,11,1,2,2,1,2,11,1,A ,-2,-2,-2,1,1,1,1,1,GWU|GW,2,15,8,14,12,5,17,15,2,5,47900,1,548,-2,2, ,-2,11001,District of Columbia,1198,-77.047871,38.89865
163204,University of Maryland-University College,3501 University Blvd East,Adelphi,MD,20783-8010,24,2,Javier Miyares,President,3019857000, ,526002033,1164400,1,www.umuc.edu,www.umuc.edu/students/admissions/,www.umuc.edu/students/aid/index.cfm,www.umuc.edu/students/admissions/apply/,www.umuc.edu/students/aid/applyforaid/netpricecalc.cfm,1,1,1,9,1,1,13,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1,UMUC,2,18,10,7,5,5,15,21,2,5,47900,1,548,-2,1,University System of Maryland,124010,24033,Prince George's County,2405,-76.954104,38.986299
163286,University of Maryland-College Park, ,College Park,MD,20742,24,2,Wallace D. Loh,President,3014051000, ,526002033,210300,1,www.umd.edu,www.admissions.umd.edu/,www.financialaid.umd.edu/,www.admissions.umd.edu/apply/,npc.collegeboard.org/student/app/umd,1,1,1,9,1,1,11,1,2,2,1,2,21,1,A ,-2,-2,-2,1,1,1,1,1, ,2,15,11,14,13,4,16,15,1,5,47900,1,548,-2,1,University System of Maryland,124010,24033,Prince George's County,2405,-76.939704,38.988607
232186,George Mason University,4400 University Dr,Fairfax,VA,22030-4444,51,5,Angel Cabrera,President,7039931000,7039934622,540836354,374900,1,www.gmu.edu,admissions.gmu.edu/,financialaid.gmu.edu/,admissions.gmu.edu/applyNow/,financialaid.gmu.edu/NPC/npcalc.htm,1,1,1,9,1,1,11,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1,Mason,2,16,11,15,8,5,16,16,2,5,47900,1,548,-2,2, ,-2,51059,Fairfax County,5111,-77.30794,38.83088
449339,American Public University System,111 W Congress St,Charles Town,WV,25414,54,5,Wallace E. Boston,President and Chief Executive,8774686268,3047243780,10724370,3819300,1,www.apus.edu,www.apus.edu,www.apus.edu,www.apus.edu,www.apus.edu,3,1,3,7,1,1,20,1,2,-2,2,2,31,1,A ,-2,-2,-2,1,1,1,1,3,American Military University |American Public University,2,18,10,4,5,4,15,-3,2,5,47900,1,548,-2,1,American Public Education Inc.,300320,54037,Jefferson County,5402,-77.859781,39.288383
232982,Old Dominion University,5115 Hampton Blvd,Norfolk,VA,23529,51,5,John R. Broderick,President,7576833000, ,546000884,372800,1,www.odu.edu,admissions.odu.edu/home.php,www.odu.edu/af/finaid/,admissions.odu.edu/undergraduate.php?page=forms,www.odu.edu/fusion/admission/netpricecalc.shtml,1,1,1,9,1,1,11,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,"ODU, Old Dominion",2,16,10,18,8,4,16,15,2,5,47260,1,545,-2,2, ,-2,51710,Norfolk city,5102,-76.309653,36.884919
141574,University of Hawaii at Manoa,"2500 Campus Road, Hawaii Hall",Honolulu,HI,96822-2217,15,8,Tom Apple,Chancellor,8089568975,8089564148,996000354,161000,1,manoa.hawaii.edu,manoa.hawaii.edu/admissions,www.hawaii.edu/fas/,www.sis.hawaii.edu/uhdad/bwskalog.P_DispLoginNon,www.hawaii.edu/fas/basics/calculator.php,1,1,1,9,1,1,11,1,2,2,1,2,11,1,A ,-2,-2,-2,1,1,1,1,1,UH at Manoa |UHM,2,15,11,14,11,5,15,15,1,5,46520,1,-2,-2,1,University of Hawaii Board of Regents,115010,15003,Honolulu County,1501,-157.816607,21.292648
100751,The University of Alabama,739 University Blvd,Tuscaloosa,AL,35487-0166,1,5,Dr. Judith L. Bonner,President,2053486010,2053487208,636001138,105100,1,www.ua.edu/,gobama.ua.edu,financialaid.ua.edu,apply.ua.edu,oira.ua.edu,1,1,1,9,1,1,11,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1, ,2,16,14,15,10,4,16,15,2,5,46220,1,-2,-2,1,The University of Alabama System,101050,1125,Tuscaloosa County,107,-87.545766,33.2144
104179,University of Arizona,1401 E University,Tucson,AZ,85721-0066,4,6,Ann Weaver Hart,President,5206212211,5206219323,866004791,108300,1,www.arizona.edu,admissions.arizona.edu,financialaid.arizona.edu,admissions.arizona.edu/apply,oirps.arizona.edu/npc.html,1,1,1,9,1,1,11,1,2,2,1,2,11,1,A ,-2,-2,-2,1,1,1,1,1,"UA|U of A|Arizona|UofA|The University of Arizona|University of Arizona|University of Az|AZ|Univ. of Arizona|Univ. of Az|Tucson|Tucson, AZ|the university of Arizona|the Univ. of Az|the U of AZ|the U of Az|Ariz.|Arizona University|Az+university|85721|AZ+univ|AZ university|",2,15,11,14,11,4,15,15,1,5,46060,1,536,-2,1,Arizona Board of Regents,104010,4019,Pima County,403,-110.950769,32.232071
102368,Troy University,University Avenue,Troy,AL,36082-0001,1,5,"Dr. Jack Hawkins, Jr.",Chancellor,3346703100,3346703774,636001102,104700,1,www.troy.edu,admissions.troy.edu/,www.troy.edu/financialaid/,admissions.troy.edu/,admissions.troy.edu/npcalc.aspx,1,1,1,9,1,1,13,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1,TROY,2,18,13,7,5,4,16,21,2,5,45980,2,-2,-2,2, ,-2,1109,Pike County,102,-85.950191,31.800128
187046,Thomas Edison State College,101 W State St,Trenton,NJ,08608-1176,34,2,Dr. George A. Pruitt,President,6.09984E+13,6092929000,222942727,2192200,1,www.tesc.edu,www.tesc.edu/admissions/admissions.php,www.tesc.edu/858.php,www.tesc.edu/809.php,www.tesc.edu/net_price_calc.php,1,1,1,7,1,1,20,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,Thomas A. Edison State College |TESC |ESC |Edison State College |Thomas Edison |Edison State |Thomas Edison University |Edison University,2,20,7,7,5,3,12,22,2,5,45940,1,408,-2,2, ,-2,34021,Mercer County,3412,-74.769652,40.22011
206084,University of Toledo,2801 W Bancroft,Toledo,OH,43606-3390,39,3,"Lloyd A. Jacobs, M.D.",President,4195304636, ,346401483,313100,1,www.utoledo.edu/,www.utoledo.edu/admission/,www.financialaid.utoledo.edu/,www.utoledo.edu/admission/apply/index.html,www.utoledo.edu/admission/cost/dhs/index.html,1,1,1,9,1,1,11,1,2,1,1,2,11,1,A ,-2,-2,-2,1,1,1,1,1, ,2,16,14,14,9,4,15,15,2,5,45780,1,534,-2,2, ,-2,39095,Lucas County,3909,-83.615225,41.65795
137351,University of South Florida-Main Campus,4202 East Fowler Ave,Tampa,FL,33620-9951,12,5,Dr. Judy Genshaft,President,8139742011,8139749689,593102112,153700,1,www.usf.edu,www.usf.edu/Admission/index.asp,usfweb2.usf.edu/finaid/,secure.vzcollegeapp.com/usf/,usfweb2.usf.edu/finaid/npc/npcalc.htm,1,1,1,9,1,1,11,1,2,2,1,2,11,1,A ,-2,-2,-2,1,1,1,1,1,USF Main Campus |USF Tampa Campus |USF Tampa,2,15,11,14,8,4,15,15,2,5,45300,1,-2,-2,1,State University System of Florida,112090,12057,Hillsborough County,1215,-82.415876,28.056647
134097,Florida State University,222 S. Copeland Street,Tallahassee,FL,32306-1037,12,5,Garnett S. Stokes,Interim President,8506442525,8506440197,591961248,148900,1,www.fsu.edu,admissions.fsu.edu/,financialaid.fsu.edu/,admissions.fsu.edu/undergradapp/,www.collegeportraits.org/FL/FSU/estimator,1,1,1,9,1,1,11,1,2,2,1,2,12,1,A ,-2,-2,-2,1,1,1,1,1,Florida State|F.S.U.|FSU|F. S. U.|Fla. State University|Fla. State|Fl State University|Fl State|FL State University|FL State|Seminoles|Noles|Florida State Seminoles|Florida State University Seminoles|Fl. State|Fl. State University|The Florida State University|Floridia State University|Florda State University|Florida State Univerisity|Flordia State University|Florida State Unversity|,2,15,11,14,13,4,15,15,2,5,45220,1,533,-2,1,State University System of Florida,112090,12073,Leon County,1202,-84.294801,30.4421
196413,Syracuse University,900 South Crouse Ave.,Syracuse,NY,13244,36,2,Kent Syverud,Chancellor and President,3154431870,3154434226,150532081,288200,1,syr.edu/,admissions.syr.edu/,financialaid.syr.edu/,syr.edu/admissions/undergraduate/applytosu/applying_for_admission/fy_in_usa.html,npc.collegeboard.org/student/app/syr,2,1,2,9,1,1,11,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,16,11,15,12,5,17,15,2,5,45060,1,532,-2,2, ,-2,36067,Onondaga County,3624,-76.136738,43.040525
