ANDRES AND MARIA CARDENAS SKATE PARK,"14740 Blythe St., Panorama City, CA 91402"
CHARMETTE BONPUAÿ(AKA Rancho Cienega Safe Spot Skate Pot),5001 Rodeo Road Los Angeles CA 90016
EL SERENO SKATE PARK,"4721 Klamath Place, Los Angeles, CA 90032"
GARVANZA SKATE PARK,"6240 Meridian St., Los Angeles, CA 90042"
GILBERT LINDSAY SKATE PARK,"429 East 42nd Place, Los Angeles, CA 90011"
HANSEN DAM SKATE PARK,"11770 Foothill Blvd., Lake View Terrace, CA 91342"
HOLLENBECK SAFE SPOT SKATE SPOT,"415 South Saint Louis St., Los Angeles, CA 90033"
IMPERIAL COURTS SKATE PARK,"2250 E. 114th St., Los Angeles, CA 90059"
JACKIE TATUM SKATE PLAZA,"1535 West 62nd St., Los Angeles, CA 90047"
LAFAYETTE SKATE PARK,"625 South Lafayette Place, Los Angeles, 90057"
LAKE STREET SKATE PARK,"227 N. Lake St., Los Angeles, 90026"
LINCOLN PARK SKATE PARK,"3501 Valley Blvd., Los Angeles, CA 90031"
NORTH HOLLYWOOD SKATE PARK,"11455 Magnolia Blvd., North Hollywood, CA 91601"
PAUL RODRIQUEZ SKATE PARKÿ(AKA P-ROD Skate Park - Ritchie Valens),"10731 Laurel Cyn Blvd, Pacomia 91331"
PEDLOW SKATE PARK,"17334 Victory Blvd., Encino, CA 91316"
STONER SKATE PARK,"1835 Stoner Ave, LA 90025"
SUNLAND SKATE PARK,"8651 Foothill Blvd., Sunland, CA 91040"
VENICE SKATE PARK,"1800 Ocean Front Venice, 90291"
WESTCHESTER SKATE PARK,"7000 West Manchester Ave., Los Angeles, CA 90045"
WILLIAM NICKERSON GARDENS SKATE PARK,"11251 Compton Ave., Los Angeles,, CA 90059"
WILMINGTONÿ(AKA Ambassador Skate Plaza),"325 Neptune Ave., Wilmington, CA 90744"
